rank,account_id,family,source_trial_id,run_dir,penalty_estimate,gross_at_risk,changed_decision_count,repair_candidate_count,refill_gross_gain,penalty_reintroduced,keep_or_kill,evidence_note
1,9058744b5ef72f,continuous_rest_debt,A1,runs/dragon_orca/eval_20260529/A1_trial017_like_reference,22032.22,27.5,1,1,9551.52,61680.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
28,d967860cb45bdf,cargo_attribute_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,9276.79,8592.97,78,2,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
29,eb7f7759956329,deadhead_limit_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,7662.32,8620.47,79,2,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
30,f9142bba79aa1f,long_lockup_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,6047.86,8647.97,80,3,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
31,b27e77f018b229,month_end_horizon_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,4433.39,8675.47,81,3,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
32,9904729642565e,query_waste_debt,M6,runs/dragon_orca/eval_20260529/M6_value_model,2818.93,8702.97,82,4,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
33,3eb946ece7ea98,continuous_rest_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,14120.18,7871.74,78,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
34,db549f3d5286b8,scheduled_window_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,12505.71,7899.24,79,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
35,7454e398450035,full_inactive_day_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,10891.25,7926.74,80,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
36,e6af71948bbc96,cargo_attribute_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,9276.79,7954.24,81,2,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
37,a793d4bb01d1f0,deadhead_limit_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,7662.32,7981.74,82,2,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
38,6ac9fa67373247,long_lockup_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,6047.86,8009.24,83,3,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
39,8d5ef420abdc07,month_end_horizon_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,4433.39,8036.74,84,3,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
40,9836232eb48215,query_waste_debt,M7,runs/dragon_orca/eval_20260529/M7_depth2_beam,2818.93,8064.24,85,4,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
41,0124778c41ec86,continuous_rest_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,14120.18,7871.74,78,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
42,09863880589fbe,scheduled_window_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,12505.71,7899.24,79,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
43,6be642af70b257,full_inactive_day_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,10891.25,7926.74,80,1,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
44,885dc3e2d3594f,cargo_attribute_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,9276.79,7954.24,81,2,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
45,a2567942d75227,deadhead_limit_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,7662.32,7981.74,82,2,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
46,3ff551356f930d,long_lockup_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,6047.86,8009.24,83,3,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
47,74f601f7ae9066,month_end_horizon_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,4433.39,8036.74,84,3,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
48,e0855c8dca2bb7,query_waste_debt,M8,runs/dragon_orca/eval_20260529/M8_depth3_selected,2818.93,8064.24,85,4,0.0,25900.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
49,77f0898ad2d403,continuous_rest_debt,G026,runs/dragon_orca/eval_20260529/search/G026,14000.77,13286.32,70,69,0.0,25360.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
50,8bd6ab98292f86,scheduled_window_debt,G026,runs/dragon_orca/eval_20260529/search/G026,12399.57,13313.82,71,70,0.0,25360.0,kill,derived from executed full-run score/action trace aggregates; no raw IDs exported
